FID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,HSIPTHEMES,NAICSCODE,NAICSDESCR,ST_VENDOR,WEBSITE,SOURCE,GOVT_LEVEL,TOT_STAFF,SPEC_EQUIP,x2,y2
18,FORT YUKON PUBLIC HEALTH OFFICE / INTERIOR REGION,907-662-2460,EAST 8TH AVENUE, ,FORT YUKON,AK,99740, ,YUKON-KOYUKUK,02290,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-16168525.4404,10033738.4651
19,BRUNSWICK COUNTY HEALTH DEPARTMENT,910-253-2250,25 COURTHOUSE DRIVE NORTHEAST, ,BOLIVIA,NC,28422,7582,BRUNSWICK,37019,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.BRUNSWICKCOUNTYNC.GOV/HEALTH/TABID/90/DEFAULT.ASPX,TECHNIGRAPHICS,LOCAL,0, ,-8701084.8154,4036362.5113
20,ANSON COUNTY HEALTH DEPARTMENT,704-694-5188,110 ASHE STREET, ,WADESBORO,NC,28170, ,ANSON,37007,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.ANSON.NC.US/HEALTH/,TECHNIGRAPHICS,LOCAL,0, ,-8914336.9359,4158598.969
21,BROWARD COUNTY HEALTH DEPARTMENT,954-467-4700,780 SOUTHWEST 24TH STREET, ,FORT LAUDERDALE,FL,33315,2643,BROWARD,12011,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://BROWARDCHD.ORG/,FLDOHOEO,LOCAL,0, ,-8922286.0728,3010447.7127
22,BAMBERG COUNTY HEALTH DEPARTMENT,803-245-5176,370 LOG BRANCH ROAD, ,BAMBERG,SC,29003,8462,BAMBERG,45009,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.SCDHEC.GOV/HEALTH/REGION5/BAMBERG.HTM,TECHNIGRAPHICS,LOCAL,0, ,-9021830.1353,3933347.8338
23,SOUTH CAROLINA DEPARTMENT OF HEALTH AND ENVIORMENTAL CONTROL,803-898-4415,2600 BULL STREET, ,COLUMBIA,SC,29201,1708,RICHLAND,45079,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,HEALTH PROGRAM ADMINISTRATION,NAVTEQ,HTTP://WWW.SCDHEC.GOV/,TECHNIGRAPHICS,STATE,0, ,-9020924.6718,4031881.7902
24,ALLENDALE COUNTY HEALTH DEPARTMENT,803-584-3818,571 MEMORIAL AVENUE NORTH, ,ALLENDALE,SC,29810,2713,ALLENDALE,45005,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.SCDHEC.GOV/HEALTH/REGION5/ALLENDALE.HTM,TECHNIGRAPHICS,LOCAL,0, ,-9051106.2989,3896912.518
25,BRYAN COUNTY HEALTH DEPARTMENT,912-756-2611,9665 FORD AVENUE,RICHMOND HILL CLINIC,RICHMOND HILL,GA,31324,3652,BRYAN,13029,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.GACHD.ORG/COUNTIES/BRYAN_COUNTY.PHP,TECHNIGRAPHICS,LOCAL,0, ,-9051856.7682,3757019.3402
26,CHEROKEE HEALTH DEPARTMENT,864-487-2705,400 SOUTH LOGAN STREET, ,GAFFNEY,SC,29341,1609,CHEROKEE,45021,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-9089804.1946,4173528.1381
27,CARTERET COUNTY HEALTH DEPARTMENT,252-728-8550,3820 BRIDGES STREET,SUITE A,MOREHEAD CITY,NC,28557,2918,CARTERET,37031,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.CARTERETCOUNTYHEALTH.COM,TECHNIGRAPHICS,LOCAL,0, ,-8544955.6283,4126763.3854
28,CHATHAM COUNTY HEALTH DEPARTMENT / MIDTOWN CLINIC,912-356-2441,1602 DRAYTON STREET, ,SAVANNAH,GA,31401,7526,CHATHAM,13051,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.GACHD.ORG/COUNTIES/CHATHAM_COUNTY_HEALTH_DEPARTME.PHP,TECHNIGRAPHICS,LOCAL,0, ,-9027713.8986,3771223.6295
29,NORTH SLOPE BOROUGH HEALTH AND SOCIAL SERVICES AGENCY,907-852-0366,5200 KARLUK STREET, ,BARROW,AK,99723, ,NORTH SLOPE,02185,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.NORTH-SLOPE.ORG/DEPARTMENTS/HEALTH/,TECHNIGRAPHICS,LOCAL,0, ,-17450099.1885,11505745.9734
30,WESTERN UPPER PENINSULA DISTRICT HEALTH DEPARTMENT,906-482-7382,540 DEPOT STREET, ,HANCOCK,MI,49930,2031,HOUGHTON,26061,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.WESTERNUPHEALTH.ORG,TECHNIGRAPHICS,LOCAL,0, ,-9861636.9337,5962514.7739
31,LUCE-MACKINAC-ALGER-SCHOOLCRAFT DISTRICT HEALTH DEPARTMENT,906-293-5107,14150 HAMILTON LAKE ROAD, ,NEWBERRY,MI,49868, ,LUCE,26095,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://LMASDHD.ORG,TECHNIGRAPHICS,LOCAL,0, ,-9519301.4402,5833811.0951
32,ONEIDA COUNTY HEALTH DEPARTMENT,715-369-6111,1 ONEIDA AVENUE,ONEIDA COUNTY COURTHOUSE,RHINELANDER,WI,54501, ,ONEIDA,55085,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.ONEIDA.WI.GOV/INDEX.ASP?LOCID=136,WIDHS,LOCAL,0, ,-9952796.294,5722490.0339
33,FOREST COUNTY HEALTH DEPARTMENT,715-478-3371,200 EAST MADISON STREET,FOREST COUNTY COURTHOUSE,CRANDON,WI,54520, ,FOREST,55041,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.FOREST.WI.GOV/LOCALGOV_DEPARTMENTS_DETAILS.ASP?DEPTID=386&LOCID=145,WIDHS,LOCAL,0, ,-9896504.4152,5711449.0723
34,EFFINGHAM COUNTY HEALTH DEPARTMENT,912-754-6484,802 STATE HIGHWAY 119 SOUTH, ,SPRINGFIELD,GA,31329,3049,EFFINGHAM,13103,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.GACHD.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-9053762.9143,3810885.586
35,FLORENCE COUNTY HEALTH DEPARTMENT,715-528-4837,501 LAKE AVENUE,FLORENCE COUNTY COURTHOUSE,FLORENCE,WI,54121, ,FLORENCE,55037,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.FLORENCEWISCONSIN.COM/HEALTHDEPARTMENT/HEALTH_DEPARTMENT.HTM,WIDHS,LOCAL,0, ,-9823847.4962,5767676.8159
36,MIAMI-DADE COUNTY HEALTH DEPARTMENT,305-325-3242,1350 NORTHWEST 14TH STREET,BUILDING 1 ROOM 204,MIAMI,FL,33125,1609,MIAMI-DADE,12086,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.DADEHEALTH.ORG/,FLDOHOEO,LOCAL,0, ,-8929870.7248,2972709.2428
37,PAMLICO COUNTY HEALTH DEPARTMENT,252-745-5111,203 NORTH STREET, ,BAYBORO,NC,28515, ,PAMLICO,37137,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.PAMLICO.NC.US/DEPARTMENTS_HEALTHDEPARTMENT.ASPX,TECHNIGRAPHICS,LOCAL,0, ,-8546060.0568,4183445.7918
38,CHIPPEWA COUNTY HEALTH DEPARTMENT,906-635-1566,508 ASHMUN STREET,SUITE 120,SAULT SAINTE MARIE,MI,49783,1908,CHIPPEWA,26033,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CHIPPEWAHD.COM,TECHNIGRAPHICS,LOCAL,0, ,-9389614.3263,5860420.4007
39,OKEECHOBEE COUNTY HEALTH DEPARTMENT,863-462-5819,1728 NORTHWEST 9TH AVENUE, ,OKEECHOBEE,FL,34972,4340,OKEECHOBEE,12093,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.DOH.STATE.FL.US/CHDOKEECHOBEE/DEFAULT.HTM,FLDOHOEO,LOCAL,0, ,-8998880.4528,3155895.2634
40,NASSAU COUNTY HEALTH DEPARTMENT,904-277-7280,30 SOUTH 4TH STREET, ,FERNANDINA BEACH,FL,32034,4272,NASSAU,12089,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.NASSAUCOUNTYHEALTH.ORG/,FLDOHOEO,LOCAL,0, ,-9068313.8153,3589970.9065
41,COASTAL HEALTH DISTRICT,912-262-2300,150 SCRANTON CONNECTOR, ,BRUNSWICK,GA,31525,0540,GLYNN,13127,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.GACHD.ORG/COUNTIES/COASTAL_HEALTH_DISTRICT.PHP,TECHNIGRAPHICS,LOCAL,0, ,-9071025.3076,3661426.8539
42,HEALTH DEPARTMENT OF NORTHWEST MICHIGAN,231-547-6523,220 WEST GARFIELD AVENUE, ,CHARLEVOIX,MI,49720,1631,CHARLEVOIX,26029,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.NWHEALTH.ORG,TECHNIGRAPHICS,LOCAL,0, ,-9491492.5378,5670670.4122
43,CRAVEN COUNTY HEALTH DEPARTMENT,252-636-4960,2818 NEUSE BOULEVARD, ,NEW BERN,NC,28562,2839,CRAVEN,37049,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CRAVENCOUNTY.COM/DEPARTMENTS/HTH/HTHMAIN.CFM,TECHNIGRAPHICS,LOCAL,0, ,-8580724.2681,4180654.0044
44,LAKE COUNTY HEALTH DEPARTMENT,352-589-6424,16140 UNITED STATES HIGHWAY 441, ,EUSTIS,FL,32726, ,LAKE,12069,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.LAKECHD.COM/,FLDOHOEO,LOCAL,0, ,-9093610.6434,3353089.3349
45,MCINTOSH COUNTY HEALTH DEPARTMENT CLINIC AND ENVIRONMENTAL HEALTH OFFICE,912-832-5473,3510 STATE HIGHWAY 57, ,TOWNSEND,GA,31331, ,MCINTOSH,13191,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.GACHD.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-9065463.2696,3701382.6021
46,HAMPTON COUNTY HEALTH DEPARTMENT,803-943-3878,531 WEST CAROLINA AVENUE, ,VARNVILLE,SC,29944, ,HAMPTON,45049,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.SCDHEC.GOV/HEALTH/REGION8/HAMPTON.HTM,TECHNIGRAPHICS,LOCAL,0, ,-9026632.1042,3876028.0671
47,BREVARD COUNTY HEALTH DEPARTMENT,321-454-7151,2575 NORTH COURTENAY PARKWAY, ,MERRITT ISLAND,FL,32953,4126,BREVARD,12009,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.DOH.STATE.FL.US/CHDBREVARD/INDEX.HTM,FLDOHOEO,LOCAL,0, ,-8984190.1996,3299946.2688
48,OSCEOLA COUNTY HEALTH DEPARTMENT,407-343-2000,1875 BOGGY CREEK ROAD, ,KISSIMMEE,FL,34744,4428,OSCEOLA,12097,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.OSCEOLAHEALTH.ORG/,FLDOHOEO,LOCAL,0, ,-9057902.2183,3287486.1462
49,VOLUSIA COUNTY HEALTH DEPARTMENT,386-274-0500,1845 HOLSONBACK DRIVE, ,DAYTONA BEACH,FL,32117,5114,VOLUSIA,12127,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.DOH.STATE.FL.US/CHD/VOLUSIA/INDEX.HTML,FLDOHOEO,LOCAL,0, ,-9025630.2191,3402770.2268
50,CHATHAM COUNTY HEALTH DEPARTMENT,912-356-2441,1395 EISENHOWER DRIVE, ,SAVANNAH,GA,31406,3901,CHATHAM,13051,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.GACHD.ORG/COUNTIES/CHATHAM_COUNTY_HEALTH_DEPARTME.PHP,TECHNIGRAPHICS,LOCAL,0, ,-9027082.2689,3763748.9923
51,HENDRY COUNTY HEALTH DEPARTMENT,863-674-4041,1140 PRATT BOULEVARD, ,LABELLE,FL,33935,4405,HENDRY,12051,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.DOH.STATE.FL.US/CHDHENDRY/INDEX.HTML,FLDOHOEO,LOCAL,0, ,-9064622.7828,3091580.9071
